group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
fang_oost vs carr_madan,fang oost,512,,,1351703.0,ns,3
fang_oost vs carr_madan,fang oost,512,,,1847304.0,ns,6
fang_oost vs carr_madan,fang oost,512,,,4205809.0,ns,9
fang_oost vs carr_madan,fang oost,512,,,3678807.0,ns,12
fang_oost vs carr_madan,fang oost,512,,,4715510.0,ns,15
fang_oost vs carr_madan,fang oost,512,,,6628614.0,ns,18
fang_oost vs carr_madan,fang oost,512,,,6415013.0,ns,21
fang_oost vs carr_madan,fang oost,512,,,7547516.0,ns,24
fang_oost vs carr_madan,fang oost,512,,,8259317.0,ns,27
fang_oost vs carr_madan,fang oost,512,,,9295819.0,ns,30
fang_oost vs carr_madan,fang oost,512,,,19496741.0,ns,33
fang_oost vs carr_madan,fang oost,512,,,12873927.0,ns,36
fang_oost vs carr_madan,fang oost,512,,,12036125.0,ns,39
fang_oost vs carr_madan,fang oost,512,,,15436332.0,ns,42
fang_oost vs carr_madan,fang oost,512,,,15119431.0,ns,45
fang_oost vs carr_madan,fang oost,512,,,14713131.0,ns,48
fang_oost vs carr_madan,fang oost,512,,,15737132.0,ns,51
fang_oost vs carr_madan,fang oost,512,,,16901935.0,ns,54
fang_oost vs carr_madan,fang oost,512,,,19796742.0,ns,57
fang_oost vs carr_madan,fang oost,512,,,19839141.0,ns,60
fang_oost vs carr_madan,fang oost,512,,,20713143.0,ns,63
fang_oost vs carr_madan,fang oost,512,,,28567859.0,ns,66
fang_oost vs carr_madan,fang oost,512,,,21602945.0,ns,69
fang_oost vs carr_madan,fang oost,512,,,22554747.0,ns,72
fang_oost vs carr_madan,fang oost,512,,,23309848.0,ns,75
fang_oost vs carr_madan,fang oost,512,,,24917952.0,ns,78
fang_oost vs carr_madan,fang oost,512,,,25121652.0,ns,81
fang_oost vs carr_madan,fang oost,512,,,28797460.0,ns,84
fang_oost vs carr_madan,fang oost,512,,,27717957.0,ns,87
